crop_type,kc_ini,kc_mid,kc_end,source
Cotton,0.35,1.15,0.7,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Rice,1.05,1.2,0.9,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Sorghum,0.3,1.05,0.55,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Millets,0.3,1.0,0.5,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Sugarcane,0.4,1.25,0.75,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Pulses,0.4,1.1,0.35,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Groundnut,0.4,1.1,0.6,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Maize,0.3,1.2,0.6,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Sesamum,0.35,1.1,0.25,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Sunflower,0.35,1.15,0.35,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Banana,0.5,1.1,1.0,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Turmeric,0.3,1.05,0.9,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Chili,0.6,1.05,0.9,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Onion,0.7,1.05,0.75,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
Coconut,1.0,1.0,1.0,"FAO Irrigation and Drainage Paper 56, Table 12 (Allen et al. 1998) - verify exact figures against the published table before final citation"
