log_id,district,crop_type,growth_stage,kc_value,t_max_c,t_min_c,solar_rad_mjm2,et0_mm_day,crop_water_need_mm_day,rain_7d_mm,effective_rain_mm,recommended_irrigation_mm_week,recommended_irrigation_liters_acre,n_deficit_kg_acre,p_deficit_kg_acre,k_deficit_kg_acre,urea_kg_acre,dap_kg_acre,mop_kg_acre
1,Trichy,Groundnut,Mid-season,1.1,34.6,26.2,17.2,5.51,6.06,4.7,4.7,37.8,152783.0,24.9,17.3,17.3,54.0,37.6,28.9
2,Tirunelveli,Rice,Initial,1.05,31.8,25.0,19.7,5.44,5.71,4.5,4.5,35.5,143596.0,22.5,22.5,10.3,48.9,49.0,17.2
3,Kovilpatti,Turmeric,Mid-season,1.05,31.4,22.9,19.3,5.8,6.09,1.5,1.5,41.2,166582.0,0.0,33.3,0.0,0.0,72.4,0.0
4,Krishnagiri,Millets,Initial,0.3,38.6,29.5,14.9,5.32,1.6,6.7,6.6,4.5,18391.0,55.9,47.1,0.0,121.5,102.4,0.0
5,Vellore,Turmeric,Initial,0.3,30.0,22.9,14.3,3.86,1.16,14.1,13.8,0.0,0.0,68.5,17.9,42.7,149.0,38.9,71.2
6,Krishnagiri,Cotton,Initial,0.35,33.4,27.4,20.7,5.64,1.98,10.4,10.3,3.6,14386.0,20.4,39.7,0.0,44.3,86.4,0.0
7,Nilgiris,Groundnut,Mid-season,1.1,35.9,28.8,24.2,7.42,8.17,6.6,6.5,50.6,204936.0,0.0,23.2,0.0,0.0,50.5,0.0
8,Krishnagiri,Sunflower,Development,0.75,35.2,28.4,18.8,5.6,4.2,6.6,6.6,22.9,92488.0,0.0,36.3,0.0,0.0,78.8,0.0
9,Kovilpatti,Banana,Mid-season,1.1,33.9,26.7,21.7,6.43,7.07,0.9,0.9,48.6,196736.0,28.8,18.2,0.0,62.5,39.6,0.0
10,Trichy,Cotton,Development,0.75,32.4,24.7,19.9,5.88,4.41,0.1,0.1,30.8,124750.0,0.0,24.0,0.0,0.0,52.1,0.0
11,Tirunelveli,Maize,Mid-season,1.2,33.8,23.9,18.8,6.32,7.59,2.3,2.3,50.8,205570.0,14.7,24.0,3.9,31.9,52.2,6.5
12,Kovilpatti,Onion,Initial,0.7,40.4,32.4,22.4,7.89,5.52,2.2,2.2,36.5,147678.0,2.9,40.1,0.0,6.2,87.1,0.0
13,Nagapattinam,Sesamum,Development,0.73,38.1,32.1,21.6,6.48,4.7,5.7,5.7,27.2,110014.0,0.0,53.2,0.0,0.0,115.7,0.0
14,Coimbatore,Sesamum,Development,0.73,30.3,22.1,15.9,4.6,3.34,1.5,1.5,21.8,88266.0,0.0,52.6,0.0,0.0,114.4,0.0
15,Madurai,Sugarcane,Late-season,1.0,31.2,22.4,16.5,5.01,5.01,15.0,14.6,20.4,82637.0,4.4,47.8,0.0,9.5,104.0,0.0
16,Kovilpatti,Onion,Mid-season,1.05,38.4,29.6,15.4,5.44,5.71,10.0,9.8,30.2,122133.0,15.4,40.6,33.1,33.5,88.2,55.2
17,Kovilpatti,Cotton,Mid-season,1.15,39.8,32.8,19.4,6.4,7.36,7.1,7.0,44.5,180075.0,0.0,37.6,0.0,0.0,81.8,0.0
18,Coimbatore,Sugarcane,Development,0.82,35.6,27.6,23.4,7.53,6.22,0.4,0.4,43.2,174630.0,0.0,48.2,0.0,0.0,104.7,0.0
19,Tirunelveli,Maize,Development,0.75,39.4,29.4,23.6,8.94,6.7,0.6,0.6,46.3,187385.0,20.3,30.0,4.2,44.2,65.3,7.0
20,Krishnagiri,Maize,Initial,0.3,27.8,20.9,15.6,3.94,1.18,2.3,2.3,5.9,24040.0,7.0,20.7,24.7,15.3,45.1,41.2
21,Trichy,Chili,Development,0.82,28.3,19.9,17.5,4.9,4.04,0.7,0.7,27.6,111648.0,37.8,26.2,0.0,82.2,57.0,0.0
22,Vellore,Sunflower,Late-season,0.75,39.0,32.0,13.0,4.23,3.17,14.1,13.8,8.4,34084.0,0.0,26.3,0.0,0.0,57.3,0.0
23,Madurai,Millets,Initial,0.3,32.7,24.9,17.5,5.23,1.57,10.9,10.7,0.3,1096.0,43.5,16.5,9.9,94.7,35.9,16.4
24,Tirunelveli,Onion,Initial,0.7,30.6,23.9,19.6,5.26,3.68,5.8,5.8,20.0,80913.0,15.8,16.6,0.0,34.4,36.1,0.0
25,Thanjavur,Sugarcane,Initial,0.4,31.0,24.6,18.2,4.82,1.93,3.0,3.0,10.5,42592.0,0.0,48.1,0.0,0.0,104.6,0.0
26,Thanjavur,Coconut,Initial,1.0,31.5,21.8,28.6,9.11,9.11,9.2,9.1,54.7,221253.0,47.0,46.1,0.0,102.1,100.3,0.0
