location,district_soil_type,crop_type,year,season,soil_ph,soil_ec_dS_m,organic_carbon_pct,available_nitrogen_kg_ha,available_phosphorus_kg_ha,available_potassium_kg_ha,area_hectares,yield_kg_per_hectare,production_kg
krishnagiri,Red Loam,Millets,2022,Kharif,6.08,0.88,0.53,184.3,12.7,191.1,1.89,1038.8,1967.8
trichy,Black Cotton Soil,Rice,2019,Kharif,6.7,0.5,0.17,136.5,14.6,149.1,0.62,2943.5,1830.6
tirunelveli,Red Loam,Millets,2021,Kharif,6.87,0.35,0.43,296.8,19.7,175.5,1.04,1101.0,1149.7
tirunelveli,Red Loam,Pulses,2015,Rabi,6.17,0.2,0.77,406.7,25.2,235.3,4.59,855.8,3927.1
vellore,Red Sandy Loam,Pulses,2021,Kharif,6.96,0.78,0.64,245.2,8.9,270.5,0.63,643.5,407.0
vellore,Red Sandy Loam,Sorghum,2017,Kharif,5.98,0.64,0.69,281.9,19.0,266.4,3.42,1422.5,4858.3
madurai,Black Clay Loam,Cotton,2021,Summer,7.53,0.7,0.24,278.3,5.7,294.9,6.42,436.4,2800.6
krishnagiri,Red Loam,Pulses,2021,Summer,7.24,0.05,0.71,245.2,16.2,226.4,4.29,634.3,2718.8
krishnagiri,Red Loam,Sugarcane,2018,Kharif,6.67,0.36,0.65,309.5,19.5,242.0,0.37,73178.0,27199.7
nilgiris,Lateritic Hill Soil,Millets,2023,Summer,7.38,0.4,0.64,159.0,11.9,228.9,1.19,936.2,1117.7
kovilpatti,Red Sandy Loam,Sorghum,2024,Summer,6.51,0.34,0.13,315.8,17.9,218.1,0.51,1457.8,744.0
coimbatore,Red Sandy Loam,Cotton,2022,Kharif,7.4,0.36,0.53,314.2,9.4,243.7,1.07,520.3,556.1
trichy,Black Cotton Soil,Millets,2021,Summer,6.01,0.32,0.52,324.1,17.7,235.2,3.05,1051.4,3208.2
trichy,Black Cotton Soil,Sugarcane,2017,Summer,7.03,0.59,0.36,207.8,24.6,250.0,3.27,52439.0,171636.5
nagapattinam,Coastal Alluvial,Cotton,2016,Summer,7.92,0.53,0.42,208.7,18.1,246.4,0.54,446.4,242.9
krishnagiri,Red Loam,Cotton,2023,Summer,6.89,0.61,0.64,222.9,24.4,279.8,0.84,515.5,432.1
nagapattinam,Coastal Alluvial,Sorghum,2023,Kharif,6.21,0.23,0.1,191.8,18.0,193.2,0.35,1386.4,491.7
tirunelveli,Red Loam,Cotton,2015,Summer,6.36,0.18,0.4,292.7,16.6,304.7,1.26,458.9,576.9
kovilpatti,Red Sandy Loam,Sugarcane,2017,Summer,6.79,0.49,0.67,219.1,21.6,83.9,1.53,65322.4,99862.9
kovilpatti,Red Sandy Loam,Sorghum,2016,Kharif,6.44,0.67,0.48,278.1,11.5,128.6,0.63,1299.0,818.3
nilgiris,Lateritic Hill Soil,Cotton,2022,Kharif,7.05,0.3,0.19,268.1,8.7,184.3,1.7,382.7,651.3
