url,american_bollworm_count,pink_bollworm_count,total_bollworm_count,risk_level
s3://wadhwaniai-agri-opendata/images/00/0f3bbcd61dab283795575d10.jpg,0,2,2,Low
s3://wadhwaniai-agri-opendata/images/00/1921554376f225829bc167f5.jpg,0,159,159,High
s3://wadhwaniai-agri-opendata/images/00/1b7162be358ea06c40d0c3e8.jpg,9,0,9,High
s3://wadhwaniai-agri-opendata/images/00/2ffed9a86f5983f678272aa6.jpg,0,1,1,Low
s3://wadhwaniai-agri-opendata/images/00/31096aeefb4e9374e59e1d42.jpg,0,99,99,High
s3://wadhwaniai-agri-opendata/images/00/384cd5790a7a3725d3a3c22e.jpg,12,0,12,High
s3://wadhwaniai-agri-opendata/images/00/4d19f448988833b2235ae231.jpg,0,6,6,Medium
s3://wadhwaniai-agri-opendata/images/00/5355a7342236281532b3508a.jpg,7,0,7,High
s3://wadhwaniai-agri-opendata/images/00/6cf3b421f90c209173a25a82.jpg,0,1,1,Low
s3://wadhwaniai-agri-opendata/images/00/76774bffe2c8d8ce8024c0ae.jpg,8,0,8,High
s3://wadhwaniai-agri-opendata/images/00/875dd8ad0c9877b93353af73.jpg,0,3,3,Medium
s3://wadhwaniai-agri-opendata/images/00/a43888f673ca9b76a8028d60.jpg,0,1,1,Low
s3://wadhwaniai-agri-opendata/images/00/d2100dce8a9e0d351308e530.jpg,9,6,15,High
s3://wadhwaniai-agri-opendata/images/00/dda275b4d1cf6e17040a1ea0.jpg,0,19,19,High
s3://wadhwaniai-agri-opendata/images/00/e72f18784cfb1931b8613eaf.jpg,0,272,272,High
s3://wadhwaniai-agri-opendata/images/00/f7e4b1987f500d52eac58478.jpg,0,12,12,High
s3://wadhwaniai-agri-opendata/images/01/6e5756fda4849af41ee1f029.jpg,12,0,12,High
s3://wadhwaniai-agri-opendata/images/01/6f1f010687e2519f5fea8369.jpg,4,0,4,Medium
s3://wadhwaniai-agri-opendata/images/01/bf2e0ba1735d298e6e6dac95.jpg,0,2,2,Low
s3://wadhwaniai-agri-opendata/images/01/f6a8677922790e96cd5fcec1.jpg,0,1,1,Low
