report_id,district,soil_type_declared,area_acres,ph_mean,ph_range_low,ph_range_high,ph_confidence_pct,nitrogen_level,nitrogen_confidence_pct,potassium_level,potassium_confidence_pct,phosphorus_level,organic_carbon_level,organic_carbon_confidence_pct,overall_confidence_pct,elevation_m,terrain_slope_pct,report_type
1,Krishnagiri,Alluvial Clay,9.53,7.12,6.87,7.37,92.6,High,43.8,Medium,62.4,Not available (SoilGrids does not model phosphorus),High,21.3,55.0,161.8,0.6,preliminary
2,Nilgiris,Black Cotton Soil,0.57,6.81,6.56,7.06,91.5,Medium,74.8,Medium,42.1,Not available (SoilGrids does not model phosphorus),Medium,30.0,59.6,550.6,1.8,preliminary
3,Madurai,Alluvial Clay,9.45,5.79,5.54,6.04,91.4,High,51.2,Medium,38.5,Not available (SoilGrids does not model phosphorus),High,39.6,55.2,351.6,0.7,preliminary
4,Thanjavur,Black Cotton Soil,0.8,6.71,6.46,6.96,86.2,High,68.0,High,54.2,Not available (SoilGrids does not model phosphorus),Medium,47.9,64.1,477.7,10.1,preliminary
5,Nagapattinam,Coastal Alluvial,8.12,6.46,6.21,6.71,88.7,Medium,59.6,Medium,55.3,Not available (SoilGrids does not model phosphorus),Low,51.0,63.6,262.6,1.2,preliminary
6,Tirunelveli,Alluvial Clay,6.56,6.76,6.51,7.01,89.2,High,64.0,High,48.4,Not available (SoilGrids does not model phosphorus),Medium,47.4,62.2,44.5,3.0,preliminary
7,Thanjavur,Coastal Alluvial,5.33,6.69,6.44,6.94,87.1,Medium,63.0,Medium,45.2,Not available (SoilGrids does not model phosphorus),Low,48.0,60.8,646.9,0.6,preliminary
8,Nilgiris,Lateritic Hill Soil,9.01,6.45,6.2,6.7,89.7,Medium,59.1,Medium,45.6,Not available (SoilGrids does not model phosphorus),Medium,49.9,61.1,755.5,1.2,preliminary
9,Vellore,Red Sandy Loam,4.34,6.79,6.54,7.04,88.6,Medium,71.3,Medium,49.1,Not available (SoilGrids does not model phosphorus),Medium,37.2,61.5,434.1,1.8,preliminary
10,Trichy,Lateritic Hill Soil,6.89,6.41,6.16,6.66,86.9,Medium,60.0,Medium,52.9,Not available (SoilGrids does not model phosphorus),Low,57.9,64.4,480.9,3.4,preliminary
11,Tirunelveli,Black Clay Loam,5.36,7.12,6.87,7.37,89.5,Medium,49.0,Medium,62.4,Not available (SoilGrids does not model phosphorus),Medium,24.7,56.4,534.8,5.1,preliminary
12,Nagapattinam,Alluvial Clay,5.53,6.64,6.39,6.89,83.1,Medium,65.9,Medium,52.8,Not available (SoilGrids does not model phosphorus),High,45.3,61.8,85.6,0.5,preliminary
13,Trichy,Alluvial Clay,6.02,7.08,6.83,7.33,87.3,Medium,56.4,Medium,56.3,Not available (SoilGrids does not model phosphorus),Medium,48.9,62.2,305.8,4.1,preliminary
14,Tirunelveli,Red Sandy Loam,3.43,7.12,6.87,7.37,89.4,High,52.2,Medium,49.5,Not available (SoilGrids does not model phosphorus),Medium,47.1,59.6,694.1,0.8,preliminary
15,Tirunelveli,Alluvial Clay,0.73,6.26,6.01,6.51,81.5,Medium,70.9,Medium,48.2,Not available (SoilGrids does not model phosphorus),Medium,47.8,62.1,683.9,1.1,preliminary
16,Madurai,Red Sandy Loam,4.25,6.23,5.98,6.48,90.0,High,49.5,Medium,53.3,Not available (SoilGrids does not model phosphorus),Medium,51.4,61.0,497.0,0.3,preliminary
17,Krishnagiri,Red Sandy Loam,6.46,6.52,6.27,6.77,88.3,Medium,62.8,High,49.6,Not available (SoilGrids does not model phosphorus),Low,24.3,56.2,215.2,0.1,preliminary
18,Trichy,Red Loam,1.71,7.58,7.33,7.83,90.3,Medium,60.7,High,59.2,Not available (SoilGrids does not model phosphorus),High,42.8,63.2,271.9,4.8,preliminary
19,Tirunelveli,Alluvial Clay,7.57,6.43,6.18,6.68,90.6,Medium,72.6,Medium,35.0,Not available (SoilGrids does not model phosphorus),Medium,48.6,61.7,517.9,2.2,preliminary
20,Coimbatore,Black Cotton Soil,7.44,6.84,6.59,7.09,92.5,Medium,65.0,Medium,35.1,Not available (SoilGrids does not model phosphorus),Medium,65.1,64.4,649.4,1.3,preliminary
21,Coimbatore,Lateritic Hill Soil,0.96,6.8,6.55,7.05,86.9,Medium,53.4,Medium,36.3,Not available (SoilGrids does not model phosphorus),High,47.6,56.0,660.1,3.0,preliminary
22,Kovilpatti,Red Sandy Loam,6.69,6.47,6.22,6.72,90.2,Medium,48.4,Low,51.6,Not available (SoilGrids does not model phosphorus),High,37.6,57.0,406.9,3.5,preliminary
23,Madurai,Coastal Alluvial,9.4,6.75,6.5,7.0,85.1,Medium,57.1,Medium,44.3,Not available (SoilGrids does not model phosphorus),High,41.9,57.1,458.3,0.8,preliminary
24,Krishnagiri,Coastal Alluvial,7.53,6.49,6.24,6.74,87.5,Medium,61.8,Medium,58.2,Not available (SoilGrids does not model phosphorus),Medium,49.9,64.4,91.5,2.8,preliminary
25,Thanjavur,Red Loam,2.52,7.71,7.46,7.96,86.2,Medium,59.4,High,64.9,Not available (SoilGrids does not model phosphorus),Medium,40.6,62.8,420.4,0.8,preliminary
26,Vellore,Coastal Alluvial,4.02,6.44,6.19,6.69,85.5,Medium,50.4,Low,48.7,Not available (SoilGrids does not model phosphorus),Medium,33.6,54.6,111.7,3.1,preliminary
27,Kovilpatti,Red Loam,6.04,6.75,6.5,7.0,87.2,Medium,45.2,Medium,58.9,Not available (SoilGrids does not model phosphorus),Medium,33.0,56.1,510.9,3.6,preliminary
28,Kovilpatti,Coastal Alluvial,7.12,7.52,7.27,7.77,84.7,Medium,53.3,Medium,53.2,Not available (SoilGrids does not model phosphorus),Medium,33.1,56.1,227.4,1.3,preliminary
29,Thanjavur,Red Loam,7.13,5.84,5.59,6.09,82.9,Medium,45.0,High,66.4,Not available (SoilGrids does not model phosphorus),Medium,32.1,56.6,40.6,1.4,preliminary
30,Kovilpatti,Black Clay Loam,9.88,6.95,6.7,7.2,86.5,Medium,60.1,Medium,51.0,Not available (SoilGrids does not model phosphorus),Low,50.4,62.0,799.8,17.1,preliminary
31,Coimbatore,Lateritic Hill Soil,7.81,6.64,6.39,6.89,87.5,Low,67.6,High,53.0,Not available (SoilGrids does not model phosphorus),High,51.1,64.8,622.4,2.2,preliminary
32,Kovilpatti,Black Cotton Soil,9.7,6.52,6.27,6.77,86.5,High,56.7,Medium,51.6,Not available (SoilGrids does not model phosphorus),Medium,54.3,62.3,91.0,3.9,preliminary
33,Nagapattinam,Black Cotton Soil,4.78,6.67,6.42,6.92,86.7,Medium,66.7,Medium,55.5,Not available (SoilGrids does not model phosphorus),Medium,45.5,63.6,183.1,2.6,preliminary
34,Tirunelveli,Lateritic Hill Soil,1.72,6.98,6.73,7.23,91.3,Medium,68.5,Medium,47.8,Not available (SoilGrids does not model phosphorus),Low,48.8,64.1,158.1,0.3,preliminary
35,Kovilpatti,Coastal Alluvial,4.88,6.52,6.27,6.77,86.5,Medium,44.8,Medium,45.7,Not available (SoilGrids does not model phosphorus),Medium,43.8,55.2,648.8,4.1,preliminary
36,Thanjavur,Lateritic Hill Soil,5.6,6.78,6.53,7.03,86.5,Medium,73.2,Medium,60.3,Not available (SoilGrids does not model phosphorus),Medium,63.0,70.8,329.8,0.3,preliminary
37,Krishnagiri,Coastal Alluvial,2.23,7.39,7.14,7.64,91.2,Medium,57.8,Medium,46.9,Not available (SoilGrids does not model phosphorus),Low,49.2,61.3,455.0,2.6,preliminary
38,Tirunelveli,Black Clay Loam,3.2,7.5,7.25,7.75,89.7,Medium,67.6,Medium,49.5,Not available (SoilGrids does not model phosphorus),Medium,42.7,62.4,242.4,0.6,preliminary
39,Krishnagiri,Red Sandy Loam,1.26,5.55,5.3,5.8,84.9,Medium,48.6,Medium,44.8,Not available (SoilGrids does not model phosphorus),Medium,47.2,56.4,454.3,2.5,preliminary
40,Tirunelveli,Coastal Alluvial,7.81,6.52,6.27,6.77,88.1,Medium,62.6,Medium,49.0,Not available (SoilGrids does not model phosphorus),Low,55.7,63.8,60.4,1.2,preliminary
41,Nilgiris,Coastal Alluvial,1.1,6.5,6.25,6.75,85.0,Medium,62.5,Low,66.8,Not available (SoilGrids does not model phosphorus),Low,47.5,65.4,590.1,8.4,preliminary
42,Tirunelveli,Red Loam,9.3,7.09,6.84,7.34,85.6,Medium,72.8,Low,48.1,Not available (SoilGrids does not model phosphorus),Medium,59.8,66.6,372.5,3.8,preliminary
43,Tirunelveli,Coastal Alluvial,3.36,6.81,6.56,7.06,87.5,High,56.8,Medium,55.9,Not available (SoilGrids does not model phosphorus),Medium,24.4,56.2,128.6,4.7,preliminary
44,Kovilpatti,Alluvial Clay,7.54,7.21,6.96,7.46,89.3,High,49.8,Medium,48.4,Not available (SoilGrids does not model phosphorus),High,34.2,55.4,491.1,2.1,preliminary
45,Vellore,Coastal Alluvial,5.12,7.51,7.26,7.76,91.4,Medium,57.0,Medium,46.1,Not available (SoilGrids does not model phosphorus),High,60.4,63.7,244.6,2.9,preliminary
46,Nilgiris,Coastal Alluvial,1.82,6.67,6.42,6.92,86.1,Medium,43.7,Medium,49.5,Not available (SoilGrids does not model phosphorus),High,52.6,58.0,675.5,7.2,preliminary
47,Kovilpatti,Black Cotton Soil,2.74,6.6,6.35,6.85,86.8,Medium,61.7,High,53.7,Not available (SoilGrids does not model phosphorus),Low,58.5,65.2,109.1,1.6,preliminary
48,Nilgiris,Red Loam,9.27,6.02,5.77,6.27,83.4,Low,42.4,Low,40.6,Not available (SoilGrids does not model phosphorus),Medium,48.3,53.7,236.5,0.7,preliminary
49,Madurai,Coastal Alluvial,5.39,6.78,6.53,7.03,85.7,Medium,67.0,Low,59.0,Not available (SoilGrids does not model phosphorus),Low,44.3,64.0,385.2,2.9,preliminary
50,Vellore,Red Loam,1.12,6.67,6.42,6.92,88.2,High,56.8,Medium,52.1,Not available (SoilGrids does not model phosphorus),Medium,42.9,60.0,522.3,1.6,preliminary
51,Krishnagiri,Lateritic Hill Soil,1.98,7.27,7.02,7.52,93.1,High,51.2,Medium,47.1,Not available (SoilGrids does not model phosphorus),Medium,55.4,61.7,583.4,5.8,preliminary
52,Thanjavur,Alluvial Clay,6.85,6.47,6.22,6.72,88.2,Medium,57.6,High,51.6,Not available (SoilGrids does not model phosphorus),Low,46.9,61.1,316.2,2.7,preliminary
53,Thanjavur,Coastal Alluvial,3.78,6.49,6.24,6.74,87.2,High,63.9,Medium,43.9,Not available (SoilGrids does not model phosphorus),Medium,57.9,63.2,419.7,4.1,preliminary
54,Madurai,Coastal Alluvial,4.32,7.11,6.86,7.36,91.3,Medium,64.2,Medium,58.6,Not available (SoilGrids does not model phosphorus),Medium,37.9,63.0,336.1,2.1,preliminary
55,Krishnagiri,Coastal Alluvial,0.6,6.93,6.68,7.18,86.9,Medium,45.2,Low,38.6,Not available (SoilGrids does not model phosphorus),Low,56.8,56.9,84.6,2.8,preliminary
56,Nilgiris,Coastal Alluvial,4.2,6.34,6.09,6.59,87.3,Medium,61.8,Medium,45.4,Not available (SoilGrids does not model phosphorus),Medium,57.9,63.1,484.2,0.2,preliminary
57,Madurai,Red Sandy Loam,7.82,6.78,6.53,7.03,87.5,High,48.5,Medium,55.4,Not available (SoilGrids does not model phosphorus),Medium,37.0,57.1,735.5,0.4,preliminary
58,Nilgiris,Red Sandy Loam,4.74,6.89,6.64,7.14,84.9,Medium,63.0,Medium,34.7,Not available (SoilGrids does not model phosphorus),Medium,39.0,55.4,756.4,0.1,preliminary
59,Nilgiris,Lateritic Hill Soil,9.99,6.17,5.92,6.42,90.7,High,70.8,Medium,42.0,Not available (SoilGrids does not model phosphorus),Medium,46.3,62.4,427.5,3.1,preliminary
60,Vellore,Red Loam,5.83,7.31,7.06,7.56,89.2,Medium,56.6,High,51.9,Not available (SoilGrids does not model phosphorus),Medium,43.1,60.2,703.8,1.6,preliminary
61,Tirunelveli,Black Clay Loam,9.91,7.12,6.87,7.37,93.9,Medium,59.3,Medium,56.1,Not available (SoilGrids does not model phosphorus),Medium,52.7,65.5,282.4,2.2,preliminary
62,Kovilpatti,Black Cotton Soil,0.53,5.87,5.62,6.12,82.5,Medium,66.2,Medium,60.8,Not available (SoilGrids does not model phosphorus),Medium,24.2,58.4,479.1,12.1,preliminary
63,Vellore,Red Loam,9.09,6.73,6.48,6.98,87.7,Medium,74.2,Medium,50.5,Not available (SoilGrids does not model phosphorus),Medium,22.0,58.6,511.2,0.7,preliminary
64,Nagapattinam,Red Loam,6.17,5.95,5.7,6.2,86.5,Medium,62.0,Medium,50.7,Not available (SoilGrids does not model phosphorus),High,62.8,65.5,376.8,1.5,preliminary
65,Nagapattinam,Red Loam,9.58,6.94,6.69,7.19,87.3,Medium,53.6,Medium,47.2,Not available (SoilGrids does not model phosphorus),Low,50.7,59.7,552.9,0.2,preliminary
66,Kovilpatti,Black Clay Loam,5.2,8.06,7.81,8.31,89.2,Medium,62.2,Medium,49.7,Not available (SoilGrids does not model phosphorus),Medium,48.5,62.4,572.5,5.4,preliminary
67,Nagapattinam,Coastal Alluvial,6.96,7.49,7.24,7.74,89.1,Medium,76.9,Medium,36.9,Not available (SoilGrids does not model phosphorus),Medium,34.8,59.4,669.1,2.1,preliminary
68,Krishnagiri,Black Clay Loam,3.23,6.9,6.65,7.15,89.0,Medium,61.9,Medium,62.4,Not available (SoilGrids does not model phosphorus),Medium,50.5,66.0,513.4,8.1,preliminary
69,Trichy,Alluvial Clay,2.15,7.05,6.8,7.3,87.6,Medium,59.7,High,56.4,Not available (SoilGrids does not model phosphorus),Medium,46.3,62.5,660.8,1.4,preliminary
70,Tirunelveli,Red Loam,6.99,5.95,5.7,6.2,83.7,Medium,65.8,Medium,50.5,Not available (SoilGrids does not model phosphorus),Medium,48.5,62.1,233.1,9.0,preliminary
71,Vellore,Alluvial Clay,7.45,5.88,5.63,6.13,86.1,Medium,70.9,Medium,57.7,Not available (SoilGrids does not model phosphorus),Medium,47.3,65.5,178.9,0.3,preliminary
72,Vellore,Lateritic Hill Soil,4.81,6.61,6.36,6.86,87.4,Medium,58.9,Low,57.2,Not available (SoilGrids does not model phosphorus),Medium,30.1,58.4,455.6,0.8,preliminary
73,Trichy,Black Cotton Soil,3.6,6.07,5.82,6.32,85.9,High,55.7,Medium,46.1,Not available (SoilGrids does not model phosphorus),Medium,46.6,58.6,728.1,3.9,preliminary
74,Tirunelveli,Red Sandy Loam,2.8,8.0,7.75,8.25,88.7,Medium,53.7,Medium,43.6,Not available (SoilGrids does not model phosphorus),Low,52.9,59.7,123.5,2.5,preliminary
75,Nilgiris,Black Clay Loam,8.3,6.85,6.6,7.1,87.9,Medium,66.0,High,56.4,Not available (SoilGrids does not model phosphorus),High,29.1,59.8,631.1,2.8,preliminary
76,Krishnagiri,Red Loam,9.0,7.46,7.21,7.71,88.8,Medium,55.9,Medium,62.8,Not available (SoilGrids does not model phosphorus),Medium,61.3,67.2,162.1,4.7,preliminary
77,Krishnagiri,Red Loam,2.04,7.05,6.8,7.3,91.1,Low,63.7,Medium,60.9,Not available (SoilGrids does not model phosphorus),Low,61.7,69.4,680.1,3.0,preliminary
78,Thanjavur,Alluvial Clay,0.88,6.91,6.66,7.16,87.5,High,52.3,Medium,64.0,Not available (SoilGrids does not model phosphorus),Medium,37.1,60.2,505.9,3.0,preliminary
79,Kovilpatti,Red Loam,7.87,7.63,7.38,7.88,89.5,Low,62.0,Medium,50.3,Not available (SoilGrids does not model phosphorus),Medium,37.3,59.8,536.8,0.3,preliminary
80,Kovilpatti,Red Loam,3.47,7.32,7.07,7.57,91.3,Medium,64.0,Medium,47.6,Not available (SoilGrids does not model phosphorus),Low,56.0,64.7,542.1,0.5,preliminary
81,Coimbatore,Alluvial Clay,6.08,6.15,5.9,6.4,87.2,Low,55.0,High,60.1,Not available (SoilGrids does not model phosphorus),Medium,52.7,63.7,789.6,0.4,preliminary
82,Coimbatore,Alluvial Clay,0.99,6.18,5.93,6.43,91.8,Medium,50.4,High,43.9,Not available (SoilGrids does not model phosphorus),Low,39.8,56.5,779.0,2.6,preliminary
83,Vellore,Lateritic Hill Soil,5.46,7.01,6.76,7.26,92.8,Low,44.1,Medium,48.4,Not available (SoilGrids does not model phosphorus),Medium,31.4,54.2,771.4,0.9,preliminary
84,Kovilpatti,Lateritic Hill Soil,9.8,6.75,6.5,7.0,87.7,Medium,61.9,Medium,52.3,Not available (SoilGrids does not model phosphorus),Medium,53.0,63.7,540.2,2.6,preliminary
85,Madurai,Black Clay Loam,6.25,7.2,6.95,7.45,84.7,Medium,56.0,Medium,40.7,Not available (SoilGrids does not model phosphorus),Medium,41.0,55.6,704.8,1.1,preliminary
86,Kovilpatti,Black Cotton Soil,5.67,6.16,5.91,6.41,86.5,Low,64.2,Medium,51.0,Not available (SoilGrids does not model phosphorus),Low,31.7,58.4,381.5,1.4,preliminary
87,Nilgiris,Black Clay Loam,5.05,6.11,5.86,6.36,86.2,Low,56.9,Medium,53.8,Not available (SoilGrids does not model phosphorus),Medium,68.4,66.3,525.0,6.8,preliminary
88,Nagapattinam,Alluvial Clay,9.31,6.42,6.17,6.67,89.1,Medium,59.6,High,58.9,Not available (SoilGrids does not model phosphorus),Medium,37.5,61.3,342.6,0.4,preliminary
89,Krishnagiri,Lateritic Hill Soil,8.66,6.53,6.28,6.78,87.2,Medium,45.3,Medium,58.3,Not available (SoilGrids does not model phosphorus),Low,56.1,61.7,22.0,3.0,preliminary
90,Coimbatore,Black Cotton Soil,6.14,7.09,6.84,7.34,91.3,High,62.7,Medium,53.6,Not available (SoilGrids does not model phosphorus),Low,34.3,60.5,651.4,4.4,preliminary
91,Nilgiris,Red Sandy Loam,4.53,6.58,6.33,6.83,85.8,Medium,67.1,Medium,42.5,Not available (SoilGrids does not model phosphorus),Low,34.2,57.4,65.6,0.5,preliminary
92,Tirunelveli,Lateritic Hill Soil,7.1,6.08,5.83,6.33,84.2,Low,77.3,Medium,49.9,Not available (SoilGrids does not model phosphorus),Medium,52.6,66.0,717.5,0.6,preliminary
93,Vellore,Red Sandy Loam,2.65,6.51,6.26,6.76,90.2,Medium,71.3,Medium,49.8,Not available (SoilGrids does not model phosphorus),High,47.9,64.8,542.2,15.4,preliminary
94,Madurai,Black Cotton Soil,5.8,6.67,6.42,6.92,90.3,High,75.6,Medium,43.9,Not available (SoilGrids does not model phosphorus),Low,56.0,66.4,291.1,3.3,preliminary
95,Thanjavur,Red Loam,9.31,6.53,6.28,6.78,86.9,Medium,67.7,High,62.6,Not available (SoilGrids does not model phosphorus),Medium,58.4,68.9,664.3,4.6,preliminary
96,Madurai,Coastal Alluvial,0.84,6.26,6.01,6.51,90.8,Medium,67.7,Low,41.9,Not available (SoilGrids does not model phosphorus),Low,41.2,60.4,407.6,14.5,preliminary
97,Coimbatore,Alluvial Clay,2.48,6.58,6.33,6.83,83.3,High,60.3,Medium,57.0,Not available (SoilGrids does not model phosphorus),Medium,50.7,62.8,781.0,3.1,preliminary
98,Nagapattinam,Black Clay Loam,1.76,8.03,7.78,8.28,90.3,Medium,62.1,Medium,33.4,Not available (SoilGrids does not model phosphorus),Medium,46.1,58.0,448.6,10.1,preliminary
99,Thanjavur,Black Clay Loam,3.14,6.82,6.57,7.07,89.7,Medium,67.5,Low,47.3,Not available (SoilGrids does not model phosphorus),Medium,48.4,63.2,153.1,0.2,preliminary
100,Tirunelveli,Lateritic Hill Soil,7.08,6.81,6.56,7.06,83.5,Medium,66.2,High,58.7,Not available (SoilGrids does not model phosphorus),Medium,52.4,65.2,171.8,1.4,preliminary
101,Trichy,Black Cotton Soil,2.18,7.01,6.76,7.26,92.1,Medium,52.6,Medium,39.8,Not available (SoilGrids does not model phosphorus),High,34.3,54.7,510.9,0.7,preliminary
102,Coimbatore,Coastal Alluvial,0.91,6.11,5.86,6.36,85.9,Medium,62.3,Low,59.3,Not available (SoilGrids does not model phosphorus),Medium,49.9,64.4,765.9,0.4,preliminary
103,Kovilpatti,Red Sandy Loam,9.46,6.96,6.71,7.21,88.3,Medium,66.6,Low,41.4,Not available (SoilGrids does not model phosphorus),Low,28.4,56.2,102.4,13.3,preliminary
104,Krishnagiri,Coastal Alluvial,0.95,7.35,7.1,7.6,93.8,Medium,62.4,Medium,58.6,Not available (SoilGrids does not model phosphorus),Medium,45.7,65.1,341.5,2.4,preliminary
105,Trichy,Black Clay Loam,0.7,7.3,7.05,7.55,89.0,Medium,61.7,Medium,31.5,Not available (SoilGrids does not model phosphorus),High,47.8,57.5,643.0,1.0,preliminary
106,Vellore,Black Clay Loam,6.22,7.56,7.31,7.81,86.9,Medium,55.8,Low,64.0,Not available (SoilGrids does not model phosphorus),Low,40.7,61.8,114.8,0.7,preliminary
107,Kovilpatti,Coastal Alluvial,3.22,6.95,6.7,7.2,84.1,Medium,49.9,Medium,59.6,Not available (SoilGrids does not model phosphorus),High,43.8,59.4,445.1,12.5,preliminary
108,Trichy,Alluvial Clay,0.91,6.75,6.5,7.0,84.9,Medium,54.2,Medium,54.2,Not available (SoilGrids does not model phosphorus),Medium,43.8,59.3,460.7,3.5,preliminary
109,Krishnagiri,Alluvial Clay,6.54,6.49,6.24,6.74,90.9,Medium,50.4,Medium,52.3,Not available (SoilGrids does not model phosphorus),High,36.2,57.4,166.7,1.3,preliminary
110,Nagapattinam,Alluvial Clay,5.48,6.92,6.67,7.17,89.3,Medium,59.8,Medium,57.5,Not available (SoilGrids does not model phosphorus),High,54.3,65.2,320.6,3.1,preliminary
111,Nilgiris,Black Cotton Soil,6.13,6.09,5.84,6.34,88.8,Low,65.3,High,50.4,Not available (SoilGrids does not model phosphorus),Medium,59.4,66.0,457.3,2.8,preliminary
112,Madurai,Black Cotton Soil,8.15,7.19,6.94,7.44,91.2,Medium,54.5,Medium,55.9,Not available (SoilGrids does not model phosphorus),Medium,51.8,63.4,276.0,1.7,preliminary
113,Madurai,Lateritic Hill Soil,2.6,7.56,7.31,7.81,84.5,Medium,64.4,Medium,59.1,Not available (SoilGrids does not model phosphorus),High,37.7,61.4,466.1,2.7,preliminary
114,Nagapattinam,Alluvial Clay,3.94,6.87,6.62,7.12,87.0,Low,56.6,Medium,51.1,Not available (SoilGrids does not model phosphorus),Medium,44.4,59.8,587.8,2.1,preliminary
115,Kovilpatti,Red Sandy Loam,0.57,6.66,6.41,6.91,85.6,Medium,54.6,Medium,48.8,Not available (SoilGrids does not model phosphorus),Low,40.3,57.3,678.9,0.9,preliminary
116,Nagapattinam,Coastal Alluvial,8.6,6.86,6.61,7.11,88.9,Medium,50.9,Medium,34.9,Not available (SoilGrids does not model phosphorus),Medium,49.6,56.1,326.9,5.3,preliminary
117,Vellore,Black Cotton Soil,7.44,6.24,5.99,6.49,87.0,Medium,67.3,Medium,38.0,Not available (SoilGrids does not model phosphorus),Low,43.1,58.8,457.8,2.2,preliminary
118,Madurai,Alluvial Clay,7.37,6.89,6.64,7.14,90.6,Medium,59.5,Medium,52.1,Not available (SoilGrids does not model phosphorus),Medium,46.3,62.1,68.6,2.2,preliminary
119,Nilgiris,Red Loam,0.99,6.49,6.24,6.74,91.2,Medium,51.5,Medium,62.6,Not available (SoilGrids does not model phosphorus),Low,45.0,62.6,372.0,12.6,preliminary
120,Nilgiris,Red Sandy Loam,0.76,6.77,6.52,7.02,85.5,Medium,67.8,Medium,65.2,Not available (SoilGrids does not model phosphorus),High,35.1,63.4,428.2,1.0,preliminary
121,Nagapattinam,Alluvial Clay,3.13,7.32,7.07,7.57,88.6,Medium,61.5,Medium,64.6,Not available (SoilGrids does not model phosphorus),Low,51.3,66.5,415.5,2.7,preliminary
122,Krishnagiri,Coastal Alluvial,7.46,6.52,6.27,6.77,83.0,Medium,74.8,Medium,37.9,Not available (SoilGrids does not model phosphorus),Low,57.6,63.3,271.9,17.5,preliminary
123,Nilgiris,Lateritic Hill Soil,6.73,6.99,6.74,7.24,93.6,Medium,72.3,Medium,66.1,Not available (SoilGrids does not model phosphorus),Medium,46.0,69.5,612.5,13.3,preliminary
124,Madurai,Lateritic Hill Soil,6.69,6.25,6.0,6.5,82.7,Medium,65.6,High,41.5,Not available (SoilGrids does not model phosphorus),Medium,49.1,59.7,359.7,2.6,preliminary
125,Kovilpatti,Coastal Alluvial,8.16,6.56,6.31,6.81,89.2,Medium,55.8,Low,44.7,Not available (SoilGrids does not model phosphorus),Medium,68.0,64.4,695.8,0.7,preliminary
126,Coimbatore,Red Loam,7.75,7.53,7.28,7.78,88.6,Medium,75.0,Medium,45.6,Not available (SoilGrids does not model phosphorus),Medium,66.9,69.0,316.0,0.8,preliminary
127,Coimbatore,Black Cotton Soil,4.11,6.53,6.28,6.78,83.7,Medium,48.4,Medium,31.1,Not available (SoilGrids does not model phosphorus),Medium,43.7,51.7,586.8,1.1,preliminary
128,Krishnagiri,Red Sandy Loam,3.17,6.98,6.73,7.23,92.3,High,50.9,Low,63.9,Not available (SoilGrids does not model phosphorus),Medium,44.9,63.0,724.3,5.7,preliminary
129,Nagapattinam,Coastal Alluvial,6.14,6.75,6.5,7.0,89.2,Medium,51.7,High,59.7,Not available (SoilGrids does not model phosphorus),Medium,25.8,56.6,93.2,7.2,preliminary
130,Thanjavur,Red Loam,8.38,6.89,6.64,7.14,88.7,High,57.6,High,49.5,Not available (SoilGrids does not model phosphorus),Medium,56.2,63.0,481.5,3.6,preliminary
131,Thanjavur,Lateritic Hill Soil,5.37,6.68,6.43,6.93,87.2,Medium,67.0,High,47.9,Not available (SoilGrids does not model phosphorus),Medium,59.1,65.3,388.5,0.1,preliminary
132,Vellore,Red Loam,3.13,6.1,5.85,6.35,87.6,Medium,53.8,Medium,54.4,Not available (SoilGrids does not model phosphorus),Medium,50.8,61.6,746.8,1.5,preliminary
